tweet,date,query,replies,reposts,likes,bookmarks,views
"may all the victims of hatred and gun violence be granted the glory of the resurrection, o lord. #buffaloshoooting",2022-05-23 04:20:01,gun violence,0,0,28,0,0
"tw murder , gun violence , antiblack racism , hate crime , terrorism   ",2022-05-23 04:19:14,gun violence,0,0,0,0,0
faculty writing: @alybatt for @dissentmag on climate legislation and @rotroz for @tohumagazine on gun violence and public art |,2022-05-23 04:18:03,gun violence,0,1,1,0,0
"gun violence costs santa clara county $72 million, according to public health report",2022-05-23 04:16:58,gun violence,0,0,0,0,0
"how is gun violence different from any other violence? is someone shot to death worse than stabbed to death or vehicular homicide? violence is violence. and because violence exists, we will keep our right to defend ourselves.",2022-05-23 04:16:47,gun violence,0,0,0,0,0
did i exaggerate? maybe a little. you have been doing that with the usas gun violence this whole time. stay out of certain areas of certain cities and your chances of getting killed are just as low as in australia.,2022-05-23 04:16:45,gun violence,1,0,0,0,0
enjoy the weekend!,2022-05-23 04:15:43,gun violence,0,0,0,0,0
youre a moron. gun crime & gun violence have 0 to do with legally purchased guns & law abiding gun owners. you have 0 clue!,2022-05-23 04:15:09,gun violence,0,0,0,0,0
"background checks (which we already have) and assault weapons bans wouldnt end gun violence, but you already know that.",2022-05-23 04:14:52,gun violence,0,0,0,0,0
"theres an average of 9,808 firearm homicides per year. in a population of 334 million =.0000294 odds of being murdered with a firearm. statistically infinitesimal. democrats gun violence epidemic is a red herring to emotionally manipulate the feeble minded, like you.",2022-05-23 04:14:41,gun violence,1,0,1,0,0
":warning:@potus can #cancelstudentdebt with a stroke of his pen (trite phrase) when he said congress sends him a bill:double_exclamation_mark::writing_hand_light_skin_tone: :police_car_light:u.s. faces domestic terrorism, gun violence epidemic, abortion ban, covid19, and war in ukraine. its midterms.#stopfascistgqp #gotvblue:ballot_box_with_ballot:",2022-05-23 04:14:28,gun violence,1,5,5,0,0
"youre an elected officials, not a reporter. fix the crimes in the city. tougher sentences for criminals. find ways to prevent crimes, public safety, homelessness, gun violence, mental health, employment...etc.",2022-05-23 04:14:03,gun violence,0,0,3,0,0
"for the same reason you are. i have an opinion on gun violence. i can and do compare raw numbers between two countries. i recognise 12.21 per 100k is one of the high numbers, certainly compared to the count i live in.",2022-05-23 04:13:10,gun violence,1,0,0,0,0
no its because a weapons ban will do less than zero to stop gun violence. we need criminals caught with a gun or convicted of use of a gun in a crime to be prosecuted to the fullest. not coddled and released in an hour.,2022-05-23 04:12:59,gun violence,0,0,0,0,0
talk about gun violence and mass shootings... compare and lets see the numbers...,2022-05-23 04:11:32,gun violence,0,0,0,0,0
"what a phony! if you wanted to do something about gun violence youd address the crime rates in democratic run, gun controlled inner cities. but you wont and neither will the phonies in these comments.",2022-05-23 04:05:56,gun violence,0,0,0,0,0
why arent you kissed about the gun violence in chicago?? or in waukesha??,2022-05-23 04:04:52,gun violence,0,0,0,0,0
"if you havent read @reggiebullock35s piece about his sisters from last year, its a very touching read. cw: violence against trans women.",2022-05-23 04:04:46,gun violence,7,166,589,69,0
"the womens information network on 6/18/22 will award the jevon ryans white scholarship in his loving memory, and children that were victims of senseless gun violence. our mission is to impact students and contribute to tomorrows leaders #donate",2022-05-23 04:04:00,gun violence,0,1,0,0,0
